date,country,daily_cases,daily_deaths,daily_recovered,cumulative_cases,cumulative_deaths,cumulative_recovered,active_cases
2020-01-01,India,578,15,0,578,15,0,563
2020-01-02,India,649,13,0,1227,28,0,1199
2020-01-03,India,593,16,0,1820,44,0,1776
2020-01-04,India,814,21,0,2634,65,0,2569
2020-01-05,India,579,12,0,3213,77,0,3136
2020-01-06,India,688,17,0,3901,94,0,3807
2020-01-07,India,863,23,0,4764,117,0,4647
2020-01-08,India,949,22,0,5713,139,0,5574
2020-01-09,India,834,19,0,6547,158,0,6389
2020-01-10,India,1068,29,0,7615,187,0,7428
2020-01-11,India,707,17,0,8322,204,0,8118
2020-01-12,India,782,17,0,9104,221,0,8883
2020-01-13,India,1061,22,0,10165,243,0,9922
2020-01-14,India,863,20,0,11028,263,0,10765
2020-01-15,India,857,19,0,11885,282,0,11603
2020-01-16,India,697,17,631,12582,299,631,11652
2020-01-17,India,1222,25,1117,13804,324,1748,11732
2020-01-18,India,1065,30,977,14869,354,2725,11790
2020-01-19,India,818,16,763,15687,370,3488,11829
2020-01-20,India,1185,35,1117,16872,405,4605,11862
2020-01-21,India,1261,30,1163,18133,435,5768,11930
2020-01-22,India,1259,27,1155,19392,462,6923,12007
2020-01-23,India,1172,31,1094,20564,493,8017,12054
2020-01-24,India,802,21,743,21366,514,8760,12092
2020-01-25,India,927,22,846,22293,536,9606,12151
2020-01-26,India,1393,37,1268,23686,573,10874,12239
2020-01-27,India,1007,27,909,24693,600,11783,12310
2020-01-28,India,1362,38,1253,26055,638,13036,12381
2020-01-29,India,855,24,793,26910,662,13829,12419
2020-01-30,India,1326,29,1226,28236,691,15055,12490
2020-01-31,India,1463,38,1327,29699,729,16382,12588
2020-02-01,India,944,25,875,30643,754,17257,12632
2020-02-02,India,1401,34,1301,32044,788,18558,12698
2020-02-03,India,1134,33,1028,33178,821,19586,12771
2020-02-04,India,1248,34,1176,34426,855,20762,12809
2020-02-05,India,1004,21,937,35430,876,21699,12855
2020-02-06,India,1360,32,1264,36790,908,22963,12919
2020-02-07,India,1277,28,1184,38067,936,24147,12984
2020-02-08,India,1669,44,1511,39736,980,25658,13098
2020-02-09,India,1643,45,1541,41379,1025,27199,13155
2020-02-10,India,1222,28,1109,42601,1053,28308,13240
2020-02-11,India,960,26,898,43561,1079,29206,13276
2020-02-12,India,1777,49,1644,45338,1128,30850,13360
2020-02-13,India,1070,28,1008,46408,1156,31858,13394
2020-02-14,India,1425,31,1309,47833,1187,33167,13479
2020-02-15,India,1144,33,1082,48977,1220,34249,13508
2020-02-16,India,1817,47,1679,50794,1267,35928,13599
2020-02-17,India,1127,26,1069,51921,1293,36997,13631
2020-02-18,India,1760,39,1605,53681,1332,38602,13747
2020-02-19,India,1565,32,1465,55246,1364,40067,13815
2020-02-20,India,1810,53,1677,57056,1417,41744,13895
2020-02-21,India,1193,31,1130,58249,1448,42874,13927
2020-02-22,India,1244,31,1157,59493,1479,44031,13983
2020-02-23,India,2012,58,1886,61505,1537,45917,14051
2020-02-24,India,1772,48,1630,63277,1585,47547,14145
2020-02-25,India,1774,42,1676,65051,1627,49223,14201
2020-02-26,India,1579,35,1426,66630,1662,50649,14319
2020-02-27,India,1171,29,1088,67801,1691,51737,14373
2020-02-28,India,1170,31,1056,68971,1722,52793,14456
2020-02-29,India,1243,25,1139,70214,1747,53932,14535
2020-03-01,India,2353,53,2174,72567,1800,56106,14661
2020-03-02,India,2420,65,2284,74987,1865,58390,14732
2020-03-03,India,2505,56,2313,77492,1921,60703,14868
2020-03-04,India,2292,48,2138,79784,1969,62841,14974
2020-03-05,India,2244,54,2116,82028,2023,64957,15048
2020-03-06,India,1824,48,1700,83852,2071,66657,15124
2020-03-07,India,1857,50,1745,85709,2121,68402,15186
2020-03-08,India,1955,42,1811,87664,2163,70213,15288
2020-03-09,India,2027,44,1871,89691,2207,72084,15400
2020-03-10,India,3206,66,3014,92897,2273,75098,15526
2020-03-11,India,3215,67,2998,96112,2340,78096,15676
2020-03-12,India,2747,55,2485,98859,2395,80581,15883
2020-03-13,India,3126,69,2876,101985,2464,83457,16064
2020-03-14,India,2715,77,2566,104700,2541,86023,16136
2020-03-15,India,2219,44,2040,106919,2585,88063,16271
2020-03-16,India,3530,98,3227,110449,2683,91290,16476
2020-03-17,India,3178,86,2984,113627,2769,94274,16584
2020-03-18,India,3155,78,2869,116782,2847,97143,16792
2020-03-19,India,2415,49,2262,119197,2896,99405,16896
2020-03-20,India,2166,50,1954,121363,2946,101359,17058
2020-03-21,India,2932,85,2716,124295,3031,104075,17189
2020-03-22,India,2206,55,2079,126501,3086,106154,17261
2020-03-23,India,2252,46,2123,128753,3132,108277,17344
2020-03-24,India,2894,85,2687,131647,3217,110964,17466
2020-03-25,India,3252,66,2940,134899,3283,113904,17712
2020-03-26,India,3434,88,3144,138333,3371,117048,17914
2020-03-27,India,2715,72,2486,141048,3443,119534,18071
2020-03-28,India,2753,58,2566,143801,3501,122100,18200
2020-03-29,India,3153,92,2985,146954,3593,125085,18276
2020-03-30,India,2307,60,2141,149261,3653,127226,18382
2020-03-31,India,2510,63,2322,151771,3716,129548,18507
2020-04-01,India,2600,61,2348,154371,3777,131896,18698
2020-04-02,India,2852,65,2629,157223,3842,134525,18856
2020-04-03,India,3490,80,3312,160713,3922,137837,18954
2020-04-04,India,4067,102,3796,164780,4024,141633,19123
2020-04-05,India,3581,104,3241,168361,4128,144874,19359
2020-04-06,India,4295,97,4056,172656,4225,148930,19501
2020-04-07,India,4048,87,3700,176704,4312,152630,19762
2020-04-08,India,2947,69,2753,179651,4381,155383,19887
2020-04-09,India,4362,109,3980,184013,4490,159363,20160
2020-04-10,India,4522,92,4213,188535,4582,163576,20377
2020-04-11,India,4390,89,4024,192925,4671,167600,20654
2020-04-12,India,2879,85,2614,195804,4756,170214,20834
2020-04-13,India,3601,97,3341,199405,4853,173555,20997
2020-04-14,India,2888,85,2698,202293,4938,176253,21102
2020-04-15,India,2998,61,2753,205291,4999,179006,21286
2020-04-16,India,3951,96,3564,209242,5095,182570,21577
2020-04-17,India,3549,104,3366,212791,5199,185936,21656
2020-04-18,India,2820,66,2634,215611,5265,188570,21776
2020-04-19,India,4322,101,4010,219933,5366,192580,21987
2020-04-20,India,4851,144,4547,224784,5510,197127,22147
2020-04-21,India,5014,112,4553,229798,5622,201680,22496
2020-04-22,India,4751,103,4373,234549,5725,206053,22771
2020-04-23,India,3278,95,3078,237827,5820,209131,22876
2020-04-24,India,3875,103,3629,241702,5923,212760,23019
2020-04-25,India,3500,75,3272,245202,5998,216032,23172
2020-04-26,India,3863,78,3567,249065,6076,219599,23390
2020-04-27,India,3433,100,3149,252498,6176,222748,23574
2020-04-28,India,5032,144,4584,257530,6320,227332,23878
2020-04-29,India,4661,111,4259,262191,6431,231591,24169
2020-04-30,India,3177,88,2915,265368,6519,234506,24343
2020-05-01,India,4340,116,4089,269708,6635,238595,24478
2020-05-02,India,3907,79,3687,273615,6714,242282,24619
2020-05-03,India,3752,96,3561,277367,6810,245843,24714
2020-05-04,India,3188,82,2924,280555,6892,248767,24896
2020-05-05,India,5206,126,4941,285761,7018,253708,25035
2020-05-06,India,3442,99,3130,289203,7117,256838,25248
2020-05-07,India,3274,79,3031,292477,7196,259869,25412
2020-05-08,India,5371,144,5086,297848,7340,264955,25553
2020-05-09,India,5217,114,4807,303065,7454,269762,25849
2020-05-10,India,5837,170,5435,308902,7624,275197,26081
2020-05-11,India,5082,107,4802,313984,7731,279999,26254
2020-05-12,India,4679,124,4287,318663,7855,284286,26522
2020-05-13,India,5246,134,4771,323909,7989,289057,26863
2020-05-14,India,5188,123,4863,329097,8112,293920,27065
2020-05-15,India,3821,98,3516,332918,8210,297436,27272
2020-05-16,India,5738,132,5224,338656,8342,302660,27654
2020-05-17,India,5635,146,5162,344291,8488,307822,27981
2020-05-18,India,4671,124,4323,348962,8612,312145,28205
2020-05-19,India,5729,169,5366,354691,8781,317511,28399
2020-05-20,India,5367,122,5008,360058,8903,322519,28636
2020-05-21,India,5282,110,5005,365340,9013,327524,28803
2020-05-22,India,4170,96,3921,369510,9109,331445,28956
2020-05-23,India,3932,80,3732,373442,9189,335177,29076
2020-05-24,India,5351,148,4937,378793,9337,340114,29342
2020-05-25,India,6213,160,5814,385006,9497,345928,29581
2020-05-26,India,4720,113,4282,389726,9610,350210,29906
2020-05-27,India,5676,164,5352,395402,9774,355562,30066
2020-05-28,India,6316,175,5753,401718,9949,361315,30454
2020-05-29,India,6099,164,5630,407817,10113,366945,30759
2020-05-30,India,5364,156,4860,413181,10269,371805,31107
2020-05-31,India,4066,100,3767,417247,10369,375572,31306
2020-06-01,India,5426,125,5088,422673,10494,380660,31519
2020-06-02,India,5087,143,4805,427760,10637,385465,31658
2020-06-03,India,5063,147,4669,432823,10784,390134,31905
2020-06-04,India,4233,121,3904,437056,10905,394038,32113
2020-06-05,India,6157,174,5626,443213,11079,399664,32470
2020-06-06,India,6270,155,5718,449483,11234,405382,32867
2020-06-07,India,5207,141,4747,454690,11375,410129,33186
2020-06-08,India,4893,141,4423,459583,11516,414552,33515
2020-06-09,India,4310,102,3911,463893,11618,418463,33812
2020-06-10,India,4538,109,4159,468431,11727,422622,34082
2020-06-11,India,5391,111,5076,473822,11838,427698,34286
2020-06-12,India,5163,143,4890,478985,11981,432588,34416
2020-06-13,India,3952,113,3670,482937,12094,436258,34585
2020-06-14,India,5501,161,5033,488438,12255,441291,34892
2020-06-15,India,5234,151,4929,493672,12406,446220,35046
2020-06-16,India,5757,157,5411,499429,12563,451631,35235
2020-06-17,India,7001,174,6396,506430,12737,458027,35666
2020-06-18,India,5627,134,5252,512057,12871,463279,35907
2020-06-19,India,6718,183,6328,518775,13054,469607,36114
2020-06-20,India,7162,213,6637,525937,13267,476244,36426
2020-06-21,India,7147,185,6669,533084,13452,482913,36719
2020-06-22,India,4328,105,4082,537412,13557,486995,36860
2020-06-23,India,4685,105,4293,542097,13662,491288,37147
2020-06-24,India,5655,132,5338,547752,13794,496626,37332
2020-06-25,India,5058,149,4658,552810,13943,501284,37583
2020-06-26,India,7033,173,6593,559843,14116,507877,37850
2020-06-27,India,4298,126,3916,564141,14242,511793,38106
2020-06-28,India,4372,129,3943,568513,14371,515736,38406
2020-06-29,India,4254,95,4007,572767,14466,519743,38558
2020-06-30,India,6373,142,5886,579140,14608,525629,38903
2020-07-01,India,4582,135,4230,583722,14743,529859,39120
2020-07-02,India,5107,120,4751,588829,14863,534610,39356
2020-07-03,India,7672,208,7203,596501,15071,541813,39617
2020-07-04,India,4806,111,4464,601307,15182,546277,39848
2020-07-05,India,7595,195,7180,608902,15377,553457,40068
2020-07-06,India,5606,164,5100,614508,15541,558557,40410
2020-07-07,India,6414,181,5850,620922,15722,564407,40793
2020-07-08,India,6818,156,6369,627740,15878,570776,41086
2020-07-09,India,7235,202,6716,634975,16080,577492,41403
2020-07-10,India,4444,112,4146,639419,16192,581638,41589
2020-07-11,India,4560,120,4106,643979,16312,585744,41923
2020-07-12,India,5872,146,5412,649851,16458,591156,42237
2020-07-13,India,5673,164,5236,655524,16622,596392,42510
2020-07-14,India,4910,106,4547,660434,16728,600939,42767
2020-07-15,India,6780,177,6413,667214,16905,607352,42957
2020-07-16,India,7262,178,6835,674476,17083,614187,43206
2020-07-17,India,6597,153,6018,681073,17236,620205,43632
2020-07-18,India,7901,180,7288,688974,17416,627493,44065
2020-07-19,India,7226,185,6744,696200,17601,634237,44362
2020-07-20,India,5678,141,5202,701878,17742,639439,44697
2020-07-21,India,6264,147,5718,708142,17889,645157,45096
2020-07-22,India,5489,142,5181,713631,18031,650338,45262
2020-07-23,India,6553,164,5960,720184,18195,656298,45691
2020-07-24,India,5367,129,4979,725551,18324,661277,45950
2020-07-25,India,5375,133,5028,730926,18457,666305,46164
2020-07-26,India,6182,124,5654,737108,18581,671959,46568
2020-07-27,India,6027,135,5624,743135,18716,677583,46836
2020-07-28,India,5903,150,5414,749038,18866,682997,47175
2020-07-29,India,8331,212,7644,757369,19078,690641,47650
2020-07-30,India,6252,144,5698,763621,19222,696339,48060
2020-07-31,India,7298,168,6839,770919,19390,703178,48351
2020-08-01,India,8201,220,7459,779120,19610,710637,48873
2020-08-02,India,7391,168,6869,786511,19778,717506,49227
2020-08-03,India,7488,194,7106,793999,19972,724612,49415
2020-08-04,India,7781,178,7143,801780,20150,731755,49875
2020-08-05,India,5726,155,5189,807506,20305,736944,50257
2020-08-06,India,4732,97,4327,812238,20402,741271,50565
2020-08-07,India,8253,217,7738,820491,20619,749009,50863
2020-08-08,India,4969,99,4542,825460,20718,753551,51191
2020-08-09,India,6451,150,6117,831911,20868,759668,51375
2020-08-10,India,5572,159,5046,837483,21027,764714,51742
2020-08-11,India,4843,120,4498,842326,21147,769212,51967
2020-08-12,India,7293,156,6859,849619,21303,776071,52245
2020-08-13,India,8337,173,7606,857956,21476,783677,52803
2020-08-14,India,6805,164,6327,864761,21640,790004,53117
2020-08-15,India,7050,195,6479,871811,21835,796483,53493
2020-08-16,India,8205,188,7625,880016,22023,804108,53885
2020-08-17,India,6314,162,5701,886330,22185,809809,54336
2020-08-18,India,8424,176,7902,894754,22361,817711,54682
2020-08-19,India,7105,160,6423,901859,22521,824134,55204
2020-08-20,India,5581,142,5066,907440,22663,829200,55577
2020-08-21,India,6255,168,5776,913695,22831,834976,55888
2020-08-22,India,4766,109,4356,918461,22940,839332,56189
2020-08-23,India,8059,166,7347,926520,23106,846679,56735
2020-08-24,India,5695,158,5293,932215,23264,851972,56979
2020-08-25,India,7847,172,7107,940062,23436,859079,57547
