date,state,country,hospital_admissions,icu_admissions,ventilator_usage,available_beds,available_icu_beds
2020-01-01,Maharashtra,India,374,92,33,537,12
2020-01-01,Karnataka,India,393,70,24,141,23
2020-01-01,Kerala,India,50,8,2,222,53
2020-01-01,Tamil Nadu,India,296,51,18,367,42
2020-01-01,Delhi,India,146,34,11,726,58
2020-01-01,Uttar Pradesh,India,208,40,15,402,28
2020-01-01,West Bengal,India,129,30,9,925,72
2020-01-01,Gujarat,India,201,41,13,878,65
2020-01-01,Rajasthan,India,329,73,32,303,36
2020-01-01,Madhya Pradesh,India,428,92,42,903,95
2020-01-02,Maharashtra,India,433,102,42,802,75
2020-01-02,Karnataka,India,169,34,11,403,29
2020-01-02,Kerala,India,232,36,13,577,84
2020-01-02,Tamil Nadu,India,153,34,15,432,91
2020-01-02,Delhi,India,401,99,37,117,38
2020-01-02,Uttar Pradesh,India,543,106,36,692,10
2020-01-02,West Bengal,India,346,69,28,201,27
2020-01-02,Gujarat,India,356,57,18,937,36
2020-01-02,Rajasthan,India,282,55,18,996,13
2020-01-02,Madhya Pradesh,India,454,71,29,147,22
2020-01-03,Maharashtra,India,412,76,24,527,49
2020-01-03,Karnataka,India,367,86,33,407,75
2020-01-03,Kerala,India,298,52,24,304,18
2020-01-03,Tamil Nadu,India,234,55,22,460,38
2020-01-03,Delhi,India,243,43,21,598,67
2020-01-03,Uttar Pradesh,India,273,47,14,997,17
2020-01-03,West Bengal,India,121,27,8,159,15
2020-01-03,Gujarat,India,72,16,5,310,32
2020-01-03,Rajasthan,India,238,41,15,299,97
2020-01-03,Madhya Pradesh,India,140,31,13,325,40
2020-01-04,Maharashtra,India,80,15,7,784,47
2020-01-04,Karnataka,India,257,57,24,194,83
2020-01-04,Kerala,India,46,8,2,887,80
2020-01-04,Tamil Nadu,India,133,22,10,177,69
2020-01-04,Delhi,India,189,39,13,276,39
2020-01-04,Uttar Pradesh,India,68,12,4,569,82
2020-01-04,West Bengal,India,130,29,14,188,72
2020-01-04,Gujarat,India,86,20,8,634,100
2020-01-04,Rajasthan,India,210,44,21,596,43
2020-01-04,Madhya Pradesh,India,458,95,29,425,33
2020-01-05,Maharashtra,India,250,56,24,201,82
2020-01-05,Karnataka,India,202,44,19,933,41
2020-01-05,Kerala,India,266,42,19,768,90
2020-01-05,Tamil Nadu,India,502,112,36,489,43
2020-01-05,Delhi,India,370,78,38,716,99
2020-01-05,Uttar Pradesh,India,438,77,28,688,91
2020-01-05,West Bengal,India,523,82,36,998,86
2020-01-05,Gujarat,India,337,82,30,420,57
2020-01-05,Rajasthan,India,115,19,9,415,26
2020-01-05,Madhya Pradesh,India,212,35,11,279,41
2020-01-06,Maharashtra,India,399,76,23,640,64
2020-01-06,Karnataka,India,380,59,23,825,53
2020-01-06,Kerala,India,84,12,4,115,23
2020-01-06,Tamil Nadu,India,390,94,30,265,96
2020-01-06,Delhi,India,301,61,22,356,26
2020-01-06,Uttar Pradesh,India,453,72,29,241,62
2020-01-06,West Bengal,India,442,73,27,564,30
2020-01-06,Gujarat,India,235,56,17,944,76
2020-01-06,Rajasthan,India,439,83,30,326,38
2020-01-06,Madhya Pradesh,India,317,75,27,186,98
2020-01-07,Maharashtra,India,381,87,41,532,56
2020-01-07,Karnataka,India,338,74,27,840,37
2020-01-07,Kerala,India,179,38,13,738,95
2020-01-07,Tamil Nadu,India,232,39,17,647,24
2020-01-07,Delhi,India,595,139,65,873,72
2020-01-07,Uttar Pradesh,India,253,61,27,549,78
2020-01-07,West Bengal,India,249,52,20,572,69
2020-01-07,Gujarat,India,424,68,30,931,32
2020-01-07,Rajasthan,India,117,19,6,704,25
2020-01-07,Madhya Pradesh,India,97,16,5,309,12
2020-01-08,Maharashtra,India,269,61,23,465,89
2020-01-08,Karnataka,India,203,44,19,445,71
2020-01-08,Kerala,India,170,36,15,392,17
2020-01-08,Tamil Nadu,India,503,117,38,971,17
2020-01-08,Delhi,India,532,86,39,838,67
2020-01-08,Uttar Pradesh,India,528,125,48,847,22
2020-01-08,West Bengal,India,461,112,47,799,17
2020-01-08,Gujarat,India,268,53,16,122,26
2020-01-08,Rajasthan,India,206,44,16,612,84
2020-01-08,Madhya Pradesh,India,204,41,14,828,61
2020-01-09,Maharashtra,India,401,87,35,956,26
2020-01-09,Karnataka,India,313,54,23,321,20
2020-01-09,Kerala,India,425,80,39,827,44
2020-01-09,Tamil Nadu,India,281,65,24,626,32
2020-01-09,Delhi,India,442,77,29,994,92
2020-01-09,Uttar Pradesh,India,178,42,13,136,30
2020-01-09,West Bengal,India,308,52,21,127,35
2020-01-09,Gujarat,India,560,121,40,781,48
2020-01-09,Rajasthan,India,522,86,31,914,92
2020-01-09,Madhya Pradesh,India,260,58,24,594,76
2020-01-10,Maharashtra,India,309,72,27,517,90
2020-01-10,Karnataka,India,150,26,12,630,62
2020-01-10,Kerala,India,550,97,39,857,72
2020-01-10,Tamil Nadu,India,301,53,16,951,91
2020-01-10,Delhi,India,416,74,36,219,20
2020-01-10,Uttar Pradesh,India,400,85,41,922,85
2020-01-10,West Bengal,India,236,47,21,515,73
2020-01-10,Gujarat,India,461,75,34,816,14
2020-01-10,Rajasthan,India,385,86,42,529,64
2020-01-10,Madhya Pradesh,India,59,10,3,100,70
2020-01-11,Maharashtra,India,277,53,17,679,63
2020-01-11,Karnataka,India,339,56,21,275,27
2020-01-11,Kerala,India,127,25,8,242,51
2020-01-11,Tamil Nadu,India,311,64,21,797,71
2020-01-11,Delhi,India,292,58,17,390,15
2020-01-11,Uttar Pradesh,India,460,93,37,130,59
2020-01-11,West Bengal,India,177,43,18,444,27
2020-01-11,Gujarat,India,587,106,35,410,23
2020-01-11,Rajasthan,India,169,41,20,575,66
2020-01-11,Madhya Pradesh,India,446,68,24,168,40
2020-01-12,Maharashtra,India,541,87,35,492,99
2020-01-12,Karnataka,India,168,26,9,197,48
2020-01-12,Kerala,India,369,82,30,582,26
2020-01-12,Tamil Nadu,India,495,81,30,733,58
2020-01-12,Delhi,India,110,19,6,330,28
2020-01-12,Uttar Pradesh,India,139,23,7,404,78
2020-01-12,West Bengal,India,78,17,6,512,14
2020-01-12,Gujarat,India,418,91,31,633,55
2020-01-12,Rajasthan,India,171,38,16,734,45
2020-01-12,Madhya Pradesh,India,95,21,7,232,81
2020-01-13,Maharashtra,India,157,28,8,306,64
2020-01-13,Karnataka,India,395,91,32,286,12
2020-01-13,Kerala,India,138,28,13,529,53
2020-01-13,Tamil Nadu,India,539,100,48,263,64
2020-01-13,Delhi,India,145,34,13,834,10
2020-01-13,Uttar Pradesh,India,525,88,37,490,29
2020-01-13,West Bengal,India,418,69,24,486,58
2020-01-13,Gujarat,India,419,65,29,972,27
2020-01-13,Rajasthan,India,333,52,17,509,83
2020-01-13,Madhya Pradesh,India,406,71,30,899,73
2020-01-14,Maharashtra,India,361,61,21,196,10
2020-01-14,Karnataka,India,490,120,41,291,21
2020-01-14,Kerala,India,143,29,12,567,27
2020-01-14,Tamil Nadu,India,333,65,22,970,63
2020-01-14,Delhi,India,295,64,31,448,88
2020-01-14,Uttar Pradesh,India,157,23,7,850,78
2020-01-14,West Bengal,India,197,47,17,504,53
2020-01-14,Gujarat,India,572,92,29,327,76
2020-01-14,Rajasthan,India,171,38,16,381,86
2020-01-14,Madhya Pradesh,India,416,102,49,866,32
2020-01-15,Maharashtra,India,222,35,14,491,38
2020-01-15,Karnataka,India,507,88,37,520,30
2020-01-15,Kerala,India,590,126,42,940,41
2020-01-15,Tamil Nadu,India,336,71,22,603,79
2020-01-15,Delhi,India,257,54,19,580,68
2020-01-15,Uttar Pradesh,India,161,34,16,828,82
2020-01-15,West Bengal,India,490,104,51,244,80
2020-01-15,Gujarat,India,276,67,22,827,66
2020-01-15,Rajasthan,India,319,73,31,113,25
2020-01-15,Madhya Pradesh,India,193,37,15,669,26
2020-01-16,Maharashtra,India,156,37,13,390,28
2020-01-16,Karnataka,India,157,28,10,887,13
2020-01-16,Kerala,India,441,95,30,741,27
2020-01-16,Tamil Nadu,India,178,41,20,192,37
2020-01-16,Delhi,India,206,37,16,984,54
2020-01-16,Uttar Pradesh,India,620,141,62,278,68
2020-01-16,West Bengal,India,524,113,44,609,13
2020-01-16,Gujarat,India,370,90,43,409,32
2020-01-16,Rajasthan,India,69,15,4,624,28
2020-01-16,Madhya Pradesh,India,337,51,17,310,21
2020-01-17,Maharashtra,India,252,44,14,349,20
2020-01-17,Karnataka,India,418,80,33,320,93
2020-01-17,Kerala,India,385,83,30,291,12
2020-01-17,Tamil Nadu,India,338,59,22,733,46
2020-01-17,Delhi,India,270,52,25,101,11
2020-01-17,Uttar Pradesh,India,273,51,23,559,38
2020-01-17,West Bengal,India,308,67,20,854,85
2020-01-17,Gujarat,India,78,13,4,484,72
2020-01-17,Rajasthan,India,425,103,47,438,48
2020-01-17,Madhya Pradesh,India,98,16,6,138,88
2020-01-18,Maharashtra,India,262,62,26,773,56
2020-01-18,Karnataka,India,461,79,31,244,45
2020-01-18,Kerala,India,486,86,41,295,23
2020-01-18,Tamil Nadu,India,282,44,20,986,97
2020-01-18,Delhi,India,130,28,9,541,65
