date,country,daily_vaccinations_dose1,daily_vaccinations_dose2,daily_vaccinations_booster,cumulative_dose1,cumulative_dose2,cumulative_booster,total_vaccinations
2021-01-16,India,59340,0,0,59340,0,0,59340
2021-01-17,India,71910,0,0,131250,0,0,131250
2021-01-18,India,46011,0,0,177261,0,0,177261
2021-01-19,India,15683,0,0,192944,0,0,192944
2021-01-20,India,74866,0,0,267810,0,0,267810
2021-01-21,India,19876,0,0,287686,0,0,287686
2021-01-22,India,62310,0,0,349996,0,0,349996
2021-01-23,India,38461,0,0,388457,0,0,388457
2021-01-24,India,28833,0,0,417290,0,0,417290
2021-01-25,India,51728,0,0,469018,0,0,469018
2021-01-26,India,64986,0,0,534004,0,0,534004
2021-01-27,India,13428,0,0,547432,0,0,547432
2021-01-28,India,66056,0,0,613488,0,0,613488
2021-01-29,India,34019,0,0,647507,0,0,647507
2021-01-30,India,56596,0,0,704103,0,0,704103
2021-01-31,India,25145,0,0,729248,0,0,729248
2021-02-01,India,61853,0,0,791101,0,0,791101
2021-02-02,India,35141,0,0,826242,0,0,826242
2021-02-03,India,85505,0,0,911747,0,0,911747
2021-02-04,India,67262,0,0,979009,0,0,979009
2021-02-05,India,43787,0,0,1022796,0,0,1022796
2021-02-06,India,35153,0,0,1057949,0,0,1057949
2021-02-07,India,76333,0,0,1134282,0,0,1134282
2021-02-08,India,71350,0,0,1205632,0,0,1205632
2021-02-09,India,81663,0,0,1287295,0,0,1287295
2021-02-10,India,28617,0,0,1315912,0,0,1315912
2021-02-11,India,15976,0,0,1331888,0,0,1331888
2021-02-12,India,38889,0,0,1370777,0,0,1370777
2021-02-13,India,43721,0,0,1414498,0,0,1414498
2021-02-14,India,87369,0,0,1501867,0,0,1501867
2021-02-15,India,46576,0,0,1548443,0,0,1548443
2021-02-16,India,96233,29027,0,1644676,29027,0,1673703
2021-02-17,India,13496,26654,0,1658172,55681,0,1713853
2021-02-18,India,37679,10051,0,1695851,65732,0,1761583
2021-02-19,India,32902,40986,0,1728753,106718,0,1835471
2021-02-20,India,79810,18848,0,1808563,125566,0,1934129
2021-02-21,India,44985,14138,0,1853548,139704,0,1993252
2021-02-22,India,82241,19898,0,1935789,159602,0,2095391
2021-02-23,India,45200,7830,0,1980989,167432,0,2148421
2021-02-24,India,12475,28378,0,1993464,195810,0,2189274
2021-02-25,India,24319,12807,0,2017783,208617,0,2226400
2021-02-26,India,39983,7019,0,2057766,215636,0,2273402
2021-02-27,India,98528,36486,0,2156294,252122,0,2408416
2021-02-28,India,34927,23626,0,2191221,275748,0,2466969
2021-03-01,India,82145,24904,0,2273366,300652,0,2574018
2021-03-02,India,90579,48319,0,2363945,348971,0,2712916
2021-03-03,India,23996,39230,0,2387941,388201,0,2776142
2021-03-04,India,87322,24254,0,2475263,412455,0,2887718
2021-03-05,India,40268,25124,0,2515531,437579,0,2953110
2021-03-06,India,10935,40976,0,2526466,478555,0,3005021
2021-03-07,India,26969,11927,0,2553435,490482,0,3043917
2021-03-08,India,17745,7677,0,2571180,498159,0,3069339
2021-03-09,India,11908,43367,0,2583088,541526,0,3124614
2021-03-10,India,52820,5102,0,2635908,546628,0,3182536
2021-03-11,India,87740,37043,0,2723648,583671,0,3307319
2021-03-12,India,23080,48209,0,2746728,631880,0,3378608
2021-03-13,India,66344,27253,0,2813072,659133,0,3472205
2021-03-14,India,89952,19580,0,2903024,678713,0,3581737
2021-03-15,India,29920,45967,0,2932944,724680,0,3657624
2021-03-16,India,40989,36666,0,2973933,761346,0,3735279
2021-03-17,India,59529,5324,0,3033462,766670,0,3800132
2021-03-18,India,32788,8793,0,3066250,775463,0,3841713
2021-03-19,India,23171,12621,0,3089421,788084,0,3877505
2021-03-20,India,78454,29229,0,3167875,817313,0,3985188
2021-03-21,India,45660,17289,0,3213535,834602,0,4048137
2021-03-22,India,22404,45478,0,3235939,880080,0,4116019
2021-03-23,India,61175,36873,0,3297114,916953,0,4214067
2021-03-24,India,94453,21596,0,3391567,938549,0,4330116
2021-03-25,India,27680,38108,0,3419247,976657,0,4395904
2021-03-26,India,12602,12119,0,3431849,988776,0,4420625
2021-03-27,India,35292,47771,0,3467141,1036547,0,4503688
2021-03-28,India,43075,46634,0,3510216,1083181,0,4593397
2021-03-29,India,50866,40171,0,3561082,1123352,0,4684434
2021-03-30,India,82505,13860,0,3643587,1137212,0,4780799
2021-03-31,India,60963,48277,0,3704550,1185489,0,4890039
2021-04-01,India,65085,33431,0,3769635,1218920,0,4988555
2021-04-02,India,40981,19356,0,3810616,1238276,0,5048892
2021-04-03,India,79810,23809,0,3890426,1262085,0,5152511
2021-04-04,India,76113,36881,0,3966539,1298966,0,5265505
2021-04-05,India,86073,21892,0,4052612,1320858,0,5373470
2021-04-06,India,48033,30683,0,4100645,1351541,0,5452186
2021-04-07,India,34373,5722,0,4135018,1357263,0,5492281
2021-04-08,India,59762,40046,0,4194780,1397309,0,5592089
2021-04-09,India,35189,32090,0,4229969,1429399,0,5659368
2021-04-10,India,61850,9032,0,4291819,1438431,0,5730250
2021-04-11,India,26168,5952,0,4317987,1444383,0,5762370
2021-04-12,India,20546,13447,0,4338533,1457830,0,5796363
2021-04-13,India,32841,35418,0,4371374,1493248,0,5864622
2021-04-14,India,47544,32630,0,4418918,1525878,0,5944796
2021-04-15,India,55146,46463,0,4474064,1572341,0,6046405
2021-04-16,India,480410,65542,0,4954474,1637883,0,6592357
2021-04-17,India,370365,225938,0,5324839,1863821,0,7188660
2021-04-18,India,302163,203456,0,5627002,2067277,0,7694279
2021-04-19,India,174135,324531,0,5801137,2391808,0,8192945
2021-04-20,India,155400,88094,0,5956537,2479902,0,8436439
2021-04-21,India,459888,397481,0,6416425,2877383,0,9293808
2021-04-22,India,112298,290991,0,6528723,3168374,0,9697097
2021-04-23,India,322175,305827,0,6850898,3474201,0,10325099
2021-04-24,India,466779,129969,0,7317677,3604170,0,10921847
2021-04-25,India,487975,178079,0,7805652,3782249,0,11587901
2021-04-26,India,368487,74951,0,8174139,3857200,0,12031339
2021-04-27,India,239027,399614,0,8413166,4256814,0,12669980
2021-04-28,India,172721,249093,0,8585887,4505907,0,13091794
2021-04-29,India,262598,95769,0,8848485,4601676,0,13450161
2021-04-30,India,472005,63075,0,9320490,4664751,0,13985241
2021-05-01,India,144119,72413,0,9464609,4737164,0,14201773
2021-05-02,India,281836,385322,0,9746445,5122486,0,14868931
2021-05-03,India,420925,160564,0,10167370,5283050,0,15450420
2021-05-04,India,407641,395922,0,10575011,5678972,0,16253983
2021-05-05,India,167319,151850,0,10742330,5830822,0,16573152
2021-05-06,India,465166,221084,0,11207496,6051906,0,17259402
2021-05-07,India,167365,53426,0,11374861,6105332,0,17480193
2021-05-08,India,367586,347561,0,11742447,6452893,0,18195340
2021-05-09,India,109260,60538,0,11851707,6513431,0,18365138
2021-05-10,India,207533,362519,0,12059240,6875950,0,18935190
2021-05-11,India,275673,358445,0,12334913,7234395,0,19569308
2021-05-12,India,439715,365092,0,12774628,7599487,0,20374115
2021-05-13,India,441834,396076,0,13216462,7995563,0,21212025
2021-05-14,India,206231,281297,0,13422693,8276860,0,21699553
2021-05-15,India,340632,323185,0,13763325,8600045,0,22363370
2021-05-16,India,450456,94311,0,14213781,8694356,0,22908137
2021-05-17,India,359313,85501,0,14573094,8779857,0,23352951
2021-05-18,India,333011,196858,0,14906105,8976715,0,23882820
2021-05-19,India,222212,228800,0,15128317,9205515,0,24333832
2021-05-20,India,291921,281075,0,15420238,9486590,0,24906828
2021-05-21,India,396119,168742,0,15816357,9655332,0,25471689
2021-05-22,India,445902,362320,0,16262259,10017652,0,26279911
2021-05-23,India,356393,227308,0,16618652,10244960,0,26863612
2021-05-24,India,338363,375115,0,16957015,10620075,0,27577090
2021-05-25,India,399768,353577,0,17356783,10973652,0,28330435
2021-05-26,India,381087,394754,0,17737870,11368406,0,29106276
2021-05-27,India,115516,359076,0,17853386,11727482,0,29580868
2021-05-28,India,333828,168925,0,18187214,11896407,0,30083621
2021-05-29,India,250554,247846,0,18437768,12144253,0,30582021
2021-05-30,India,296161,118337,0,18733929,12262590,0,30996519
2021-05-31,India,493496,310773,0,19227425,12573363,0,31800788
2021-06-01,India,275249,376234,0,19502674,12949597,0,32452271
2021-06-02,India,292694,72836,0,19795368,13022433,0,32817801
2021-06-03,India,244723,333913,0,20040091,13356346,0,33396437
2021-06-04,India,291889,314434,0,20331980,13670780,0,34002760
2021-06-05,India,383586,82579,0,20715566,13753359,0,34468925
2021-06-06,India,152437,169069,0,20868003,13922428,0,34790431
2021-06-07,India,350361,79697,0,21218364,14002125,0,35220489
2021-06-08,India,102793,56699,0,21321157,14058824,0,35379981
2021-06-09,India,389064,120578,0,21710221,14179402,0,35889623
2021-06-10,India,169887,238745,0,21880108,14418147,0,36298255
2021-06-11,India,251406,191049,0,22131514,14609196,0,36740710
2021-06-12,India,204075,255656,0,22335589,14864852,0,37200441
2021-06-13,India,123375,285381,0,22458964,15150233,0,37609197
2021-06-14,India,475106,309937,0,22934070,15460170,0,38394240
2021-06-15,India,180711,379791,0,23114781,15839961,0,38954742
2021-06-16,India,336571,233831,0,23451352,16073792,0,39525144
2021-06-17,India,490761,97969,0,23942113,16171761,0,40113874
2021-06-18,India,340674,64761,0,24282787,16236522,0,40519309
2021-06-19,India,130434,227117,0,24413221,16463639,0,40876860
2021-06-20,India,379693,317962,0,24792914,16781601,0,41574515
2021-06-21,India,495161,141487,0,25288075,16923088,0,42211163
2021-06-22,India,417347,112474,0,25705422,17035562,0,42740984
2021-06-23,India,311247,388833,0,26016669,17424395,0,43441064
2021-06-24,India,355529,108194,0,26372198,17532589,0,43904787
2021-06-25,India,321738,329467,0,26693936,17862056,0,44555992
2021-06-26,India,340801,138877,0,27034737,18000933,0,45035670
2021-06-27,India,116109,89496,0,27150846,18090429,0,45241275
2021-06-28,India,494613,314502,0,27645459,18404931,0,46050390
2021-06-29,India,121243,207574,0,27766702,18612505,0,46379207
2021-06-30,India,235432,99314,0,28002134,18711819,0,46713953
2021-07-01,India,149244,368170,0,28151378,19079989,0,47231367
2021-07-02,India,127561,198194,0,28278939,19278183,0,47557122
2021-07-03,India,452443,215810,0,28731382,19493993,0,48225375
2021-07-04,India,449854,125156,0,29181236,19619149,0,48800385
2021-07-05,India,313632,55650,0,29494868,19674799,0,49169667
2021-07-06,India,210144,72580,0,29705012,19747379,0,49452391
2021-07-07,India,430002,125312,0,30135014,19872691,0,50007705
2021-07-08,India,425426,149316,0,30560440,20022007,0,50582447
2021-07-09,India,237355,140852,0,30797795,20162859,0,50960654
2021-07-10,India,285016,332731,0,31082811,20495590,0,51578401
2021-07-11,India,327859,62589,0,31410670,20558179,0,51968849
2021-07-12,India,396179,109355,0,31806849,20667534,0,52474383
2021-07-13,India,306456,216229,0,32113305,20883763,0,52997068
2021-07-14,India,389903,242414,0,32503208,21126177,0,53629385
2021-07-15,India,460277,314704,0,32963485,21440881,0,54404366
2021-07-16,India,497157,350565,0,33460642,21791446,0,55252088
2021-07-17,India,212684,380917,0,33673326,22172363,0,55845689
2021-07-18,India,129733,222176,0,33803059,22394539,0,56197598
2021-07-19,India,338843,214674,0,34141902,22609213,0,56751115
2021-07-20,India,327127,113960,0,34469029,22723173,0,57192202
2021-07-21,India,288865,326932,0,34757894,23050105,0,57807999
2021-07-22,India,134533,317719,0,34892427,23367824,0,58260251
2021-07-23,India,279159,350785,0,35171586,23718609,0,58890195
2021-07-24,India,112273,273719,0,35283859,23992328,0,59276187
2021-07-25,India,473163,207832,0,35757022,24200160,0,59957182
